Samples,RNA-seq core set of samples,ITPKB,MME,BCL6,MYBL1,DENND3,NEK6,LMO2,LRMP,SH3BP5,IRF4,PIM1,ENTPD1,BLNK,CCND2,ETV6,FUT8,BMF,IL16,PTPN1
2159,0,6.539027874,4.912707581,6.423978861,4.812216603,7.471838247,6.307664688,6.812656605,9.503153678,5.230092503,5.563125672,5.325714726,5.208040396,4.972083738,4.26083916,4.233207033,5.318242282,2.725646862,3.494391981,4.52120116
2160,1,4.202939782,0.420019677,6.157407509,2.882246739,4.189553676,3.205513807,2.283866131,7.045087376,4.892060357,7.322568378,7.09152917,4.912206017,6.832218548,6.688397202,7.009596526,6.653750199,4.758080682,7.130124125,7.238958176
2190,0,6.698683026,3.570592932,4.936535362,1.700420708,7.382342269,5.617453657,4.922696597,9.098237157,6.397560976,6.005891407,4.165823799,6.052931375,6.952371393,5.398517292,5.833003346,6.745349002,2.805429665,6.849643244,7.455550077
2191,1,6.707420478,4.383131294,6.78218011,2.307259172,7.558077513,5.95361745,7.080209511,7.528090609,5.452227511,7.447539919,5.662933553,7.020862435,6.921817918,3.841001244,6.311101983,5.713735534,4.192085334,7.210132003,7.63718155
2192,1,5.099668995,1.111315487,5.017514606,1.572033304,6.670119693,4.991128509,3.455638561,6.29830364,5.032005032,7.656933003,6.83755747,6.225602718,6.410464717,5.61562376,5.834510728,6.428183325,5.202750829,7.253376375,6.287460034
2193,1,6.187272531,4.0295994,6.402951794,2.018186637,6.837201633,6.891856588,6.646828387,9.073327416,5.062361668,5.028054142,6.075557994,5.879517216,5.445203545,3.80505181,3.764761968,5.170357494,3.124823554,5.844686419,4.154687507
2194,1,5.497617516,2.258575634,5.46196287,2.87497716,7.180191995,5.453182459,4.058882656,6.141838709,5.617310038,6.539101659,6.268249833,6.036617213,6.118538236,6.000096806,6.70656454,5.044708013,4.144809272,7.542113143,6.277968374
2195,1,6.616194375,3.425610822,5.800100848,6.327228718,7.210379086,5.475467831,6.696581443,7.575822748,6.501120944,7.568822669,6.688073057,4.83282079,6.138505262,3.482489933,7.033318452,5.577882788,4.015179836,7.080455366,7.33675982
2196,1,6.595107055,6.106779405,7.172836744,5.759059576,5.353331952,6.406820701,5.503208206,9.119634002,4.662251927,6.387043673,4.25593224,5.159676653,6.246901347,3.993644527,5.096605575,4.533886915,3.340612895,6.375404598,5.779208124
2199,1,5.841203628,5.717086399,6.435595946,6.28679598,6.396631242,3.948837324,2.540909218,7.69573532,4.677822604,3.175965015,5.578131735,3.912081742,5.775691859,3.326973802,4.014283277,3.543813086,2.947112561,4.533771269,4.552921536
2204,1,4.98884238,0.265550185,5.588278106,0.96770537,8.268593623,5.360229756,2.546011059,7.196674881,6.559654418,7.37010462,7.507433292,6.670525758,7.031686558,6.566641222,5.525460562,7.284622596,6.710169887,7.975388224,6.470907444
2205,1,5.577711426,4.855168787,6.641970761,3.924645569,7.664629298,6.009286848,5.019699296,7.296360273,5.076147117,3.928336505,5.605311544,5.56779619,3.870729478,5.58322165,6.02956046,5.002853489,3.332754819,5.24814735,6.00295037
2206,1,5.213553221,1.167120912,4.534006599,1.179826972,6.006400748,5.233762677,3.081808461,6.25069884,5.881707001,6.113957515,7.446792549,5.506970145,5.875400587,6.695120346,6.159593241,4.578865817,3.751500455,6.214130804,6.827202512
2209,1,6.475591792,6.033163951,6.977038226,6.504524002,4.869493369,7.048647443,6.906876169,9.474212683,5.453830752,6.315234674,6.612172868,4.274821022,6.554095819,2.650656439,3.891934983,5.521692908,3.827138714,4.920364822,4.758198156
